lat,lon,time range,mmsi,entry timestamp,exit timestamp,apparent fishing hours
-17.3,-71.800003,2023-02,760027204,2023-01-01T09:00:00Z,2023-02-18T15:00:00Z,2.68
-14.6,-77.199997,2023-02,760000110,2023-01-01T06:00:00Z,2023-03-18T16:00:00Z,0.2
-7.6,-79.699997,2023-01,760000770,2023-01-05T02:00:00Z,2023-03-13T01:00:00Z,0.31
-14.6,-77.5,2023-02,760015259,2023-01-01T00:00:00Z,2023-03-23T11:00:00Z,1.63
-14.6,-77.5,2023-02,760003580,2023-01-02T00:00:00Z,2023-03-31T21:00:00Z,4.01
-6.9,-80.5,2023-01,760110064,2023-01-01T10:00:00Z,2023-02-05T17:00:00Z,1.62
-7.9,-79.699997,2023-02,760004712,2023-01-01T01:00:00Z,2023-03-25T12:00:00Z,0.13
-11.3,-77.900002,2023-01,760000770,2023-01-05T02:00:00Z,2023-03-13T01:00:00Z,0.13
-12.6,-77,2023-01,760001190,2023-01-01T08:00:00Z,2023-03-31T04:00:00Z,2.33
-8.1,-79.300003,2023-01,760016662,2023-01-01T01:00:00Z,2023-03-25T05:00:00Z,11.06
-15.1,-77.300003,2023-03,760017362,2023-01-01T09:00:00Z,2023-03-18T16:00:00Z,0.07
-12,-77.300003,2023-01,760027200,2023-01-03T12:00:00Z,2023-02-12T22:00:00Z,1.57
-10,-78.400002,2023-01,760038246,2023-01-01T01:00:00Z,2023-03-12T05:00:00Z,0.75
-12.6,-77,2023-01,760038247,2023-01-01T00:00:00Z,2023-03-02T19:00:00Z,0.6
-12.1,-77.300003,2023-01,760001210,2023-01-01T07:00:00Z,2023-02-04T21:00:00Z,1.07
-7.4,-80,2023-01,760016662,2023-01-01T01:00:00Z,2023-03-25T05:00:00Z,5.5
-6.7,-80.800003,2023-01,760112018,2023-01-01T09:00:00Z,2023-02-05T16:00:00Z,3.38
-12.3,-77.199997,2023-01,760002626,2023-01-01T07:00:00Z,2023-01-14T05:00:00Z,1.38
-14,-77.400002,2023-03,760000110,2023-01-01T06:00:00Z,2023-03-18T16:00:00Z,0.91
-6.5,-80.699997,2023-01,760115435,2023-01-01T15:00:00Z,2023-02-05T17:00:00Z,0.11
-7.9,-79.5,2023-01,760033663,2023-01-01T05:00:00Z,2023-02-23T13:00:00Z,5.27
-8.2,-79.5,2023-02,760003530,2023-01-01T00:00:00Z,2023-02-04T21:00:00Z,1.47
-7.9,-79.800003,2023-02,760003420,2023-01-01T02:00:00Z,2023-02-04T21:00:00Z,2.27
-7.9,-79.599998,2023-01,760003420,2023-01-01T02:00:00Z,2023-02-04T21:00:00Z,4.54
-10,-78.400002,2023-02,760010376,2023-01-01T08:00:00Z,2023-02-04T20:00:00Z,2.29
-15.4,-78.099998,2023-03,735059025,2023-01-29T22:00:00Z,2023-03-29T21:00:00Z,5.01
-12,-77.199997,2023-03,760002915,2023-01-01T06:00:00Z,2023-03-31T18:00:00Z,112.8
-12.8,-76.900002,2023-01,760019820,2023-01-01T08:00:00Z,2023-01-30T02:00:00Z,10.03
-13.6,-76.5,2023-01,760000210,2023-01-01T02:00:00Z,2023-03-16T12:00:00Z,1.44
-13.3,-77.800003,2023-01,760003146,2023-01-04T08:00:00Z,2023-03-24T21:00:00Z,0.91
-8.9,-78.800003,2023-01,760000230,2023-01-01T02:00:00Z,2023-02-27T11:00:00Z,0.18
-9.1,-78.599998,2023-01,760021429,2023-01-01T10:00:00Z,2023-02-04T05:00:00Z,0.06
-11.3,-77.800003,2023-01,760000590,2023-01-01T01:00:00Z,2023-03-26T05:00:00Z,2.9
-12.6,-76.800003,2023-02,760004503,2023-01-01T07:00:00Z,2023-03-31T23:00:00Z,1.14
-6.6,-80.400002,2023-01,760006125,2023-01-01T02:00:00Z,2023-03-31T23:00:00Z,1.85
-6.6,-80.900002,2023-01,760038247,2023-01-01T00:00:00Z,2023-03-02T19:00:00Z,1.85
-7.4,-79.800003,2023-01,760110540,2023-01-01T00:00:00Z,2023-02-04T20:00:00Z,0.06
-7.7,-79.699997,2023-02,760001228,2023-01-01T10:00:00Z,2023-03-31T23:00:00Z,1.51
-12.1,-78.599998,2023-02,760007800,2023-01-04T15:00:00Z,2023-03-31T11:00:00Z,0.83
-15.3,-76.699997,2023-03,760013244,2023-01-01T21:00:00Z,2023-03-16T10:00:00Z,4.8
