lat,lon,time range,flag,vessel ids,apparent fishing hours
-14.4,-77.8,2023-02,AIA,1,1.61
-11.2,-77.9,2023-01,PER,17,29.67
-9.4,-78.6,2023-01,NA,1,0.19
-15.5,-78,2023-02,PER,1,1.94
-13.3,-79.1,2023-03,PER,2,0.63
-7.6,-80.9,2023-03,PER,1,0.29
-10.6,-78.1,2023-03,PER,1,1.36
-7.1,-83.4,2023-03,ECU,1,0.02
-9.8,-78.5,2023-02,PER,2,1.1
-12.7,-77,2023-02,PER,3,1.04
-14.2,-77.5,2023-02,PER,1,0.05
-13.7,-78.5,2023-02,ECU,1,0.65
-10.4,-78.3,2023-01,PER,1,0.18
-8.9,-78.8,2023-01,PER,10,11.68
-8,-79.5,2023-02,PER,5,8.57
-10.5,-79,2023-02,PER,1,4.55
-10.8,-78.9,2023-02,PER,1,1.96
-7.8,-79.8,2023-01,HND,1,3.59
-4,-81.4,2023-03,ECU,1,2.03
-8.4,-79.6,2023-01,PER,2,2.1
-10.1,-80.8,2023-01,PER,1,2.02
-5.3,-82.8,2023-02,PER,1,2.31
-9.8,-78.3,2023-01,PER,9,8.68
-14.2,-77.3,2023-01,PER,2,1.83
-9.4,-78.9,2023-02,PER,1,1.5
-11.9,-78.1,2023-03,PER,1,1.3
-14.7,-76.1,2023-01,PER,10,6.82
-13.2,-79.8,2023-02,ESP,1,0.87
-9.1,-80.1,2023-03,PER,1,0.16
-16.3,-77.8,2023-03,ECU,1,6.03
-9.9,-78.4,2023-01,NA,2,7.97
-9.5,-78.8,2023-02,PER,3,3.37
-16.9,-78.2,2023-03,ECU,2,11.14
-14.7,-77,2023-03,PER,15,40.73
-12.2,-77.5,2023-03,PER,1,3.27
-16.6,-77.8,2023-03,PER,1,2.46
-16.9,-76.7,2023-03,NA,1,2.48
-15.2,-77.6,2023-02,PER,19,61.06
-10.5,-78.1,2023-02,NA,1,4.81
-8.3,-79.8,2023-02,PER,5,13.42
-3.5,-81.6,2023-02,PER,1,5.1
-12,-78.6,2023-02,PER,3,7.04
-13.1,-76.5,2023-01,PER,1,1.86
-9.6,-78.6,2023-01,HND,1,0.09
-16.2,-77.2,2023-03,ECU,1,0.09
-15.4,-78.1,2023-02,ECU,1,0.13
-12.1,-77.7,2023-02,PER,1,0.38
-14.6,-77.2,2023-02,PER,2,1.11
-14.4,-77.6,2023-02,PER,2,1.97
-7.5,-79.8,2023-02,GBR,1,0.17
-9.7,-79.4,2023-01,PER,1,0.37
-16.8,-76.8,2023-03,ECU,1,3.4
-11.1,-77.9,2023-01,PER,3,1.71
-13.5,-76.2,2023-02,PER,4,6.53
-9.8,-82.1,2023-02,PER,1,10.29
-12.3,-77,2023-01,NA,1,2.42
-12.8,-76.9,2023-01,PER,34,236.19
-14.9,-76.8,2023-02,PER,1,4.61
-7.1,-80.1,2023-01,AIA,1,5.43
-12.5,-77,2023-01,PER,58,153.82
-7.2,-79.8,2023-01,GBR,1,2.3
-16.7,-77.9,2023-03,PER,3,10.65
-15.4,-77.5,2023-02,PER,8,26.16
-13.9,-77,2023-02,PER,1,0.27
