lat,lon,time range,flag,geartype,vessel ids,apparent fishing hours
-9.1,-79.2,2023-03,PER,other_purse_seines,1,0.38
-3.6,-81.2,2023-01,ECU,tuna_purse_seines,1,1.79
-10.4,-78.3,2023-01,PER,other_purse_seines,1,0.18
-13.8,-76.5,2023-03,PER,other_purse_seines,1,3.34
-9.1,-78.6,2023-01,PER,purse_seines,6,6.81
-11.3,-78.2,2023-03,PER,other_purse_seines,1,0.87
-7.9,-79.5,2023-02,PER,other_purse_seines,12,30.96
-6,-81.3,2023-03,PER,other_purse_seines,1,2.64
-4,-81.9,2023-02,PER,other_purse_seines,1,0.19
-11.3,-77.8,2023-01,PER,purse_seines,2,11.69
-7.1,-80,2023-01,PER,pole_and_line,1,1.55
-10.3,-78.2,2023-01,AIA,purse_seines,1,4.7
-13.8,-77.1,2023-01,PER,pole_and_line,1,4.78
-13.4,-80,2023-02,ECU,tuna_purse_seines,1,1.11
-11.8,-77.8,2023-01,PER,other_purse_seines,4,5.62
-14,-77.1,2023-02,PER,pole_and_line,1,1.36
-8.3,-79.3,2023-01,PER,purse_seines,4,3.65
-7.8,-79.9,2023-02,PER,purse_seines,3,9.67
-15.2,-77.5,2023-02,PER,pole_and_line,1,0.93
-14,-78.1,2023-02,PER,purse_seines,1,0.14
-9.2,-78.7,2023-01,PER,purse_seines,2,5.64
-14.7,-76.5,2023-03,PER,other_purse_seines,1,1.18
-11.7,-80.6,2023-02,PER,tuna_purse_seines,1,1.33
-5.1,-81.1,2023-02,ECU,inconclusive,1,0.99
-7.8,-79.7,2023-02,PER,tuna_purse_seines,2,3.29
-8.2,-79.2,2023-01,PER,purse_seines,6,25.53
-15,-76.4,2023-03,PER,other_purse_seines,1,1.24
-9.1,-82.5,2023-03,PAN,tuna_purse_seines,1,0.44
-8.9,-78.9,2023-01,PER,purse_seines,2,3.85
-14.8,-76.6,2023-03,PER,other_purse_seines,1,1.23
-14.9,-77,2023-01,PER,set_gillnets,1,3.39
-15,-77.4,2023-03,PER,other_purse_seines,10,17.28
-17.4,-71.8,2023-01,PER,other_purse_seines,1,0.23
-18.3,-70.8,2023-01,NA,other_purse_seines,1,0.06
-7,-80.1,2023-01,GBR,other_purse_seines,1,4.72
-11,-77.8,2023-02,PER,other_purse_seines,2,2.47
-14.7,-77.5,2023-03,PER,other_purse_seines,3,4.54
-14.7,-77.4,2023-02,NA,pole_and_line,1,1.81
-4.2,-82.6,2023-02,PER,other_purse_seines,1,0.67
-16.5,-78.1,2023-02,ECU,tuna_purse_seines,1,6.71
-12,-77.1,2023-01,PER,inconclusive,1,3.1
-12.6,-77.6,2023-03,PER,other_purse_seines,1,0.96
-15.5,-76.9,2023-03,PER,other_purse_seines,6,11.88
-17.1,-77.3,2023-03,PER,fishing,1,0.12
-7.9,-79.6,2023-02,HND,other_purse_seines,1,9.41
-13.3,-78.6,2023-02,PER,tuna_purse_seines,1,4.16
-15.4,-77.7,2023-02,PER,pole_and_line,1,0.35
